C:\Users\Lenovo\Anaconda3\envs\MatchByAssignment-2.0\python.exe D:/Desktop/MatchByAssignment-2.0-save_para/MatchByAssignment-2.0-save_para/MatchByAssignment-2.0/dynamic_batch_decision.py
9600 9600
2022-07-14 20:51:10,822 INFO    : Train data size: 9600
epoch = 57,  average reward = 517.344
epoch = 58,  average reward = 514.434
epoch = 58,  average reward = 486.063
epoch = 58,  average reward = 538.741
epoch = 58,  average reward = 498.683
epoch = 58,  average reward = 513.566
epoch = 58,  average reward = 514.358
epoch = 58,  average reward = 483.002
epoch = 58,  average reward = 518.308
epoch = 58,  average reward = 521.359
epoch = 58,  average reward = 515.336
epoch = 59,  average reward = 524.462
epoch = 59,  average reward = 488.236
epoch = 59,  average reward = 515.713
epoch = 59,  average reward = 507.780
epoch = 59,  average reward = 514.497
epoch = 59,  average reward = 515.736
epoch = 59,  average reward = 474.176
epoch = 59,  average reward = 518.160
epoch = 59,  average reward = 528.207
epoch = 59,  average reward = 512.236
epoch = 60,  average reward = 500.367
epoch = 60,  average reward = 495.589
epoch = 60,  average reward = 527.660
epoch = 60,  average reward = 509.234
epoch = 60,  average reward = 511.031
epoch = 60,  average reward = 504.002
epoch = 60,  average reward = 480.508
epoch = 60,  average reward = 522.639
epoch = 60,  average reward = 525.372
epoch = 60,  average reward = 515.237
epoch = 61,  average reward = 514.944
epoch = 61,  average reward = 495.023
epoch = 61,  average reward = 530.576
epoch = 61,  average reward = 498.817
epoch = 61,  average reward = 495.003
epoch = 61,  average reward = 509.171
epoch = 61,  average reward = 477.616
epoch = 61,  average reward = 499.371
epoch = 61,  average reward = 519.470
epoch = 61,  average reward = 522.882
epoch = 62,  average reward = 514.652
epoch = 62,  average reward = 500.229
epoch = 62,  average reward = 518.289
epoch = 62,  average reward = 507.168
epoch = 62,  average reward = 515.678
epoch = 62,  average reward = 515.445
epoch = 62,  average reward = 470.564
epoch = 62,  average reward = 515.701
epoch = 62,  average reward = 521.112
epoch = 62,  average reward = 508.268
epoch = 63,  average reward = 505.802
epoch = 63,  average reward = 493.701
epoch = 63,  average reward = 530.388
epoch = 63,  average reward = 498.696
epoch = 63,  average reward = 476.230
epoch = 63,  average reward = 503.764
epoch = 63,  average reward = 475.453
epoch = 63,  average reward = 498.696
epoch = 63,  average reward = 517.491
epoch = 63,  average reward = 515.328
epoch = 64,  average reward = 507.590
epoch = 64,  average reward = 497.688
epoch = 64,  average reward = 523.625
epoch = 64,  average reward = 504.621
epoch = 64,  average reward = 506.148
epoch = 64,  average reward = 530.529
epoch = 64,  average reward = 471.332
epoch = 64,  average reward = 514.113
epoch = 64,  average reward = 517.441
epoch = 64,  average reward = 519.462
epoch = 65,  average reward = 527.502
epoch = 65,  average reward = 506.750
epoch = 65,  average reward = 526.132
epoch = 65,  average reward = 511.472
epoch = 65,  average reward = 508.746
epoch = 65,  average reward = 494.352
epoch = 65,  average reward = 481.254
epoch = 65,  average reward = 509.555
epoch = 65,  average reward = 522.886
epoch = 65,  average reward = 514.865
epoch = 66,  average reward = 527.490
epoch = 66,  average reward = 501.863
epoch = 66,  average reward = 521.312
epoch = 66,  average reward = 492.402
epoch = 66,  average reward = 490.222
epoch = 66,  average reward = 497.339
epoch = 66,  average reward = 476.507
epoch = 66,  average reward = 511.353
epoch = 66,  average reward = 532.716
epoch = 66,  average reward = 514.983
epoch = 67,  average reward = 503.063
epoch = 67,  average reward = 503.902
epoch = 67,  average reward = 510.151
epoch = 67,  average reward = 517.603
epoch = 67,  average reward = 512.454
epoch = 67,  average reward = 515.129
epoch = 67,  average reward = 466.602
epoch = 67,  average reward = 501.160
epoch = 67,  average reward = 522.381
epoch = 67,  average reward = 516.663
epoch = 68,  average reward = 505.826
epoch = 68,  average reward = 503.891
epoch = 68,  average reward = 524.867
epoch = 68,  average reward = 494.092
epoch = 68,  average reward = 497.491
epoch = 68,  average reward = 508.909
epoch = 68,  average reward = 479.757
epoch = 68,  average reward = 509.223
epoch = 68,  average reward = 499.993
epoch = 68,  average reward = 516.789
epoch = 69,  average reward = 518.341
epoch = 69,  average reward = 496.120
epoch = 69,  average reward = 515.896
epoch = 69,  average reward = 495.306
epoch = 69,  average reward = 511.080
epoch = 69,  average reward = 516.161
epoch = 69,  average reward = 478.082
epoch = 69,  average reward = 525.077
epoch = 69,  average reward = 541.565
epoch = 69,  average reward = 510.293
epoch = 70,  average reward = 508.997
epoch = 70,  average reward = 492.683
epoch = 70,  average reward = 513.017
epoch = 70,  average reward = 498.481
epoch = 70,  average reward = 501.780
epoch = 70,  average reward = 504.103
epoch = 70,  average reward = 482.587
epoch = 70,  average reward = 511.275
epoch = 70,  average reward = 531.426
epoch = 70,  average reward = 523.400
epoch = 71,  average reward = 525.605
epoch = 71,  average reward = 502.167
epoch = 71,  average reward = 509.462
epoch = 71,  average reward = 497.546
epoch = 71,  average reward = 513.256
epoch = 71,  average reward = 536.778
epoch = 71,  average reward = 472.334
epoch = 71,  average reward = 499.778
epoch = 71,  average reward = 539.622
epoch = 71,  average reward = 517.712
epoch = 72,  average reward = 523.997
epoch = 72,  average reward = 502.415
epoch = 72,  average reward = 512.488
epoch = 72,  average reward = 513.953
epoch = 72,  average reward = 516.099
epoch = 72,  average reward = 515.759
epoch = 72,  average reward = 464.695
epoch = 72,  average reward = 524.080
epoch = 72,  average reward = 491.484
epoch = 72,  average reward = 514.139
epoch = 73,  average reward = 507.666
epoch = 73,  average reward = 505.051
epoch = 73,  average reward = 517.439
epoch = 73,  average reward = 520.661
epoch = 73,  average reward = 507.010
epoch = 73,  average reward = 505.978
epoch = 73,  average reward = 476.355
epoch = 73,  average reward = 507.141
epoch = 73,  average reward = 501.890
epoch = 73,  average reward = 518.954
epoch = 74,  average reward = 519.437
epoch = 74,  average reward = 486.387
epoch = 74,  average reward = 497.141
epoch = 74,  average reward = 482.989
epoch = 74,  average reward = 496.365
epoch = 74,  average reward = 496.159
epoch = 74,  average reward = 480.581
epoch = 74,  average reward = 507.680
epoch = 74,  average reward = 503.937
epoch = 74,  average reward = 513.658
epoch = 75,  average reward = 513.855
epoch = 75,  average reward = 475.654
epoch = 75,  average reward = 509.477
epoch = 75,  average reward = 487.489
epoch = 75,  average reward = 490.562
epoch = 75,  average reward = 498.154
epoch = 75,  average reward = 464.898
epoch = 75,  average reward = 502.999
epoch = 75,  average reward = 530.751
epoch = 75,  average reward = 505.453
epoch = 76,  average reward = 500.862
epoch = 76,  average reward = 491.401
epoch = 76,  average reward = 520.189
epoch = 76,  average reward = 480.074
epoch = 76,  average reward = 511.481
epoch = 76,  average reward = 491.362
epoch = 76,  average reward = 489.983
epoch = 76,  average reward = 514.440
epoch = 76,  average reward = 520.597
epoch = 76,  average reward = 504.619
epoch = 77,  average reward = 506.036
epoch = 77,  average reward = 493.998
epoch = 77,  average reward = 538.639
epoch = 77,  average reward = 497.975
epoch = 77,  average reward = 492.037
epoch = 77,  average reward = 505.542
epoch = 77,  average reward = 478.126
epoch = 77,  average reward = 499.088
epoch = 77,  average reward = 506.986
epoch = 77,  average reward = 503.934
epoch = 78,  average reward = 526.777
epoch = 78,  average reward = 487.286
epoch = 78,  average reward = 522.641
epoch = 78,  average reward = 494.176
epoch = 78,  average reward = 498.328
epoch = 78,  average reward = 489.008
epoch = 78,  average reward = 457.060
epoch = 78,  average reward = 485.445
epoch = 78,  average reward = 530.062
epoch = 78,  average reward = 502.773
epoch = 79,  average reward = 510.300
epoch = 79,  average reward = 488.750
epoch = 79,  average reward = 519.038
epoch = 79,  average reward = 490.292
epoch = 79,  average reward = 489.575
